gender,carType,carCat,job,cover,age,nYears,carVal,density,claimNumbMD,pred_claim_prob,pred_cond_sev,pred_expected_loss,pct_rank,action_band
Male,C,Medium,Unemployed,0,22,3,4350,275.2822626,1,0.8367660975663221,958.0134969584602,801.6332152657964,0.9991523371276338,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,18,4,9715,208.6667182,1,0.8267350787100324,967.5594303185384,799.9153217810309,0.9991119722289497,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,20,6,12160,276.9454965,0,0.8448435514211425,944.8957572077674,798.2890872421798,0.9990716073302656,1-Highest Review (Top 5%)
Male,A,Large,Unemployed,0,20,0,12365,253.6198858,1,0.8348927681864176,954.7370786223388,797.1030824612178,0.9990312424315815,1-Highest Review (Top 5%)
Male,E,Large,Unemployed,0,19,2,48110,248.5121203,1,0.8929742043447298,890.0323702413209,794.7759476572976,0.9989908775328974,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,20,4,22845,225.0430894,1,0.8400830442293301,944.042319321604,793.0739454970105,0.9989505126342133,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,18,3,16675,284.2162652,1,0.8788452902373046,895.8814186952375,787.3411654314242,0.9989101477355292,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,20,0,11920,222.6929824,1,0.8165158101625968,963.7326360419395,786.9029340979192,0.9988697828368451,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,1,22,4,40665,293.5560359,1,0.87320558737428,900.5645446892471,786.377992213825,0.9988294179381609,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,20,3,10870,276.9454965,1,0.8313103135629182,945.8003347570598,786.2535728548044,0.9987890530394768,1-Highest Review (Top 5%)
Male,C,Large,Unemployed,0,20,5,13620,249.7835716,0,0.8467547585130065,928.2994200903559,786.0419512863733,0.9987486881407928,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,19,1,19095,225.1417422,1,0.828609306002637,947.5473808856212,785.146577680251,0.9987083232421087,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,2,21325,212.4247054,1,0.8155614580620222,960.7730758378701,783.5694905970672,0.9986679583434246,1-Highest Review (Top 5%)
Female,C,Large,Unemployed,0,18,4,38730,284.2162652,1,0.876617490610719,892.487468943036,782.3701254263563,0.9986275934447405,1-Highest Review (Top 5%)
Male,E,Medium,Unemployed,1,18,4,30680,284.2162652,1,0.8957126760517249,873.0778348048096,782.0268838144618,0.9985872285460563,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,21,2,47020,275.0923407,0,0.8974392717765235,870.3420663650699,781.079150235143,0.9985468636473722,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,0,20,6,8865,296.4319078,1,0.8426563155779379,923.4399080289696,778.1424705573213,0.9985064987486881,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,21,0,18500,237.675525,0,0.8213553832289577,940.3554809507216,772.3660364277308,0.998466133850004,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,22,5,19355,295.7970919,1,0.8440701969086528,914.7638235703341,772.124880685924,0.99842576895132,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,1,20,0,4330,238.240414,1,0.8253418313789552,931.6076720251274,768.8947821559037,0.9983854040526359,1-Highest Review (Top 5%)
Male,D,Medium,Unemployed,0,18,0,20770,239.4551701,1,0.8642167703973553,889.0364505926628,768.320210096719,0.9983450391539517,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,20,4,7410,208.8164363,0,0.7915769792284961,962.8970295698188,762.207121974969,0.9983046742552676,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,1,21,4,11130,275.2822626,1,0.8340958356891323,908.9855535341451,758.1810649044112,0.9982643093565835,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,18,4,14280,234.675271,1,0.8664726044113177,874.9084251891306,758.0841817950305,0.9982239444578994,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,21,2,19125,245.331155,0,0.849410382759555,891.216055310712,757.0081706629327,0.9981835795592153,1-Highest Review (Top 5%)
Male,D,Medium,Unemployed,0,20,1,2270,270.7883545,1,0.85133712528283,887.3227301995671,755.4107823262116,0.9981432146605312,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,21,2,9375,238.240414,1,0.804120264610241,936.3367946312343,752.927391063173,0.998102849761847,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,23,4,9835,275.2822626,0,0.8372548523636009,899.1258644319347,752.7974928812545,0.998062484863163,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,8,35865,225.1417422,1,0.8180152154101505,918.649230510686,751.4690481825679,0.9980221199644789,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,20,0,7885,207.1446249,0,0.7985926016823551,937.0596595376524,748.3289114417557,0.9979817550657948,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,20,0,7540,200.6565503,1,0.8073312197915795,926.2271866269989,747.772124383698,0.9979413901671107,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,18,15,12275,293.5560359,1,0.8194989063189279,911.9280370516823,747.3240290054204,0.9979010252684266,1-Highest Review (Top 5%)
Male,D,Large,Unemployed,0,20,4,15385,275.2822626,1,0.867940431578604,860.5865103924754,746.9378272407698,0.9978606603697425,1-Highest Review (Top 5%)
Male,A,Large,Unemployed,0,22,2,8515,275.2822626,1,0.81885973293594,911.5219930039217,746.4086557564272,0.9978202954710583,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,1,18,3,9140,207.1446249,1,0.7794061087126202,957.379707328832,746.1875922495921,0.9977799305723742,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,19,6,14850,222.6929824,1,0.8062345140216921,924.399040933171,745.2824115288734,0.9977395656736902,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,21,2,19105,237.675525,1,0.8211804751071742,907.4759353633573,745.201519750009,0.9976992007750061,1-Highest Review (Top 5%)
Female,A,Medium,Unemployed,0,19,4,4915,296.4319078,1,0.8123967472161334,916.0423562348548,744.1898305173985,0.997658835876322,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,19,1,17970,275.2822626,1,0.8895278695947338,833.1818355257486,741.1384631402491,0.9976184709776379,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,18,2,22325,222.711392,1,0.8218410273623309,901.4109515042177,740.8165024598825,0.9975781060789537,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,19,1,6400,245.331155,1,0.8466860833955379,874.0650544398854,740.0587175766142,0.9975377411802696,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,0,18,7,20490,223.3475567,1,0.8304598396026048,890.6297413621851,739.6322321569496,0.9974973762815855,1-Highest Review (Top 5%)
Male,E,Medium,Unemployed,0,21,5,11070,276.9950185,1,0.8647835036799341,854.6097503571275,739.0524141928705,0.9974570113829014,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,18,9,28625,290.1327193,1,0.8527597242843729,863.8849881961902,736.6863243475918,0.9974166464842174,1-Highest Review (Top 5%)
Male,C,Medium,Employed,0,18,4,8910,258.9237292,0,0.8202966055194082,893.7034372433035,733.1018959117093,0.9973762815855333,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,20,14,28060,270.874006,1,0.8228510695294441,890.155970378302,732.465792273806,0.9973359166868491,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,21,1,8230,223.3475567,1,0.7831787380099503,934.9452319018369,732.229226829301,0.997295551788165,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,20,0,15290,249.8117276,1,0.8615433891894075,849.7767108207007,732.1195074946936,0.9972551868894809,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,1,22,0,26640,276.3355652,1,0.869743060696677,840.9133043155194,731.378511075936,0.9972148219907968,1-Highest Review (Top 5%)
Male,C,Large,Unemployed,0,18,1,19875,201.6569069,1,0.8377330468416995,871.755637642919,730.2985064240311,0.9971744570921127,1-Highest Review (Top 5%)
Male,A,Small,Employed,0,18,4,5545,291.3194903,1,0.8161107461109618,893.9026344505728,729.5235459520113,0.9971340921934286,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,18,1,13725,180.0831298,0,0.7965185234039627,915.1574587895334,728.939867757162,0.9970937272947444,1-Highest Review (Top 5%)
Male,D,Large,Unemployed,0,20,0,20875,260.3601885,1,0.8755665060569616,831.725485552336,728.2309773835887,0.9970533623960603,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,22,1,25005,245.331155,1,0.8307764127632711,876.3950054586677,728.0882987985993,0.9970129974973763,1-Highest Review (Top 5%)
Male,C,Small,Employed,0,19,1,48805,245.331155,1,0.8515392795776225,851.994267213352,725.5065845071222,0.9969726325986922,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,19,6,20050,201.3918071,1,0.7964631792926942,910.4958728248718,725.1764376029739,0.9969322677000081,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,18,0,7610,150.2239631,0,0.7867874696364029,920.4365299117337,724.1879283301643,0.996891902801324,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,19,0,17560,174.6445246,0,0.7964315978998482,906.0796291487724,721.6304468674587,0.9968515379026399,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,0,18,3,4860,162.666477,1,0.7890528040802629,912.4901485884585,720.002910439339,0.9968111730039557,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,20,2,15450,249.7835716,1,0.8539335708299068,841.4646121182752,718.5548809531613,0.9967708081052716,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,22,0,8545,222.6929824,1,0.8172125755711496,878.9411493950436,718.2817604725901,0.9967304432065875,1-Highest Review (Top 5%)
Female,A,Medium,Unemployed,0,19,2,5680,295.7970919,0,0.8099115249909209,886.7229330298269,718.1671229346093,0.9966900783079035,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,19,3,1590,162.9324677,1,0.7665882346151788,935.9234904576334,717.4679362847933,0.9966497134092194,1-Highest Review (Top 5%)
Female,A,Large,Unemployed,0,19,3,25125,276.3355652,1,0.8445949200390188,849.0124125466068,717.0715706869358,0.9966093485105353,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,19,1,15865,189.9730181,0,0.8107422343159665,884.2186486875711,716.873402860806,0.9965689836118511,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,22,0,1545,222.6929824,1,0.7913653853999054,904.8454568178639,716.0633736620224,0.996528618713167,1-Highest Review (Top 5%)
Male,A,Medium,Employed,0,19,3,22555,284.1301175,1,0.8300928508164702,861.5022144971697,715.1268292166578,0.9964882538144829,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,18,0,10970,156.1042255,1,0.8011241804899878,892.4104508058906,714.9315910625696,0.9964478889157988,1-Highest Review (Top 5%)
Male,A,Medium,Employed,0,18,2,24650,270.7883545,1,0.829391318937451,861.9784399692596,714.9174352217507,0.9964075240171147,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,18,0,19315,212.4247054,1,0.8527861027216698,838.3157181621514,714.9039941418188,0.9963671591184307,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,18,1,25665,222.6929824,1,0.8761339481970605,815.9629695972246,714.8928581358144,0.9963267942197465,1-Highest Review (Top 5%)
Male,A,Large,Unemployed,0,23,0,20210,291.3194903,0,0.8409683411579101,849.0853266839421,714.0538786829169,0.9962864293210624,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,1,19,2,18055,222.735365,1,0.8199950663450338,870.2919838279897,713.6351330185836,0.9962460644223783,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,22,2,13585,237.4189585,1,0.7998207183048356,891.9123536175993,713.3699793353848,0.9962056995236942,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,24,4,22965,284.9991194,1,0.851657177270873,837.1441828225747,712.9598517114057,0.9961653346250101,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,20,7,14865,237.675525,1,0.829341700182467,859.0025786973995,712.4066590780247,0.996124969726326,1-Highest Review (Top 5%)
Male,A,Small,Employed,0,18,3,18920,270.7883545,1,0.8278038007365005,860.1009042757216,711.9947975763433,0.9960846048276418,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,1,18,1,26385,201.3918071,1,0.8409097454619572,845.9464182817692,711.3645872717769,0.9960442399289577,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,18,0,14285,160.3435748,0,0.8210098494795507,865.9255496439299,710.93340517366,0.9960038750302737,1-Highest Review (Top 5%)
Male,B,Small,Employed,0,19,3,2480,295.7970919,1,0.8249537620657124,861.4919811144148,710.6910508097801,0.9959635101315896,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,19,1,22545,184.4785165,1,0.8351197329200927,850.5351566802128,710.2986928859285,0.9959231452329055,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,21,11,47260,293.5560359,1,0.838224963936474,847.2147902802767,710.1565870291324,0.9958827803342214,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,1,21,6,8905,291.3194903,1,0.8267450329759075,858.7986879726344,710.0075496076017,0.9958424154355373,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,1,22,1,7595,276.9950185,1,0.8352566049581505,849.5325476462084,709.5776715484202,0.9958020505368531,1-Highest Review (Top 5%)
Male,B,Medium,Employed,0,19,2,7110,270.7883545,1,0.8085018189968385,877.581056698717,709.5258806580804,0.995761685638169,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,24,5,26585,291.3194903,1,0.8435604570595922,840.4969287897563,709.0099734070703,0.9957213207394849,1-Highest Review (Top 5%)
Male,B,Medium,Employed,0,18,1,11980,276.9454965,1,0.8201234888820996,864.022929414331,708.6054993454133,0.9956809558408009,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,21,6,1855,216.4916013,1,0.7914889559140009,895.2356580236,708.5691362660828,0.9956405909421168,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,20,7,11460,222.735365,0,0.7906090359844153,896.1777009190403,708.5261881943321,0.9956002260434327,1-Highest Review (Top 5%)
Female,B,Small,Unemployed,0,18,3,48175,185.1345389,0,0.8162235034256983,867.1204537086554,707.7640946181598,0.9955598611447485,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,22,0,7430,282.3344767,1,0.8708617936251912,812.4857970497626,707.5628385137494,0.9955194962460644,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,24,0,25100,282.3344767,0,0.8391260556524208,842.9768521779538,707.3638409743802,0.9954791313473803,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,24,5,4215,270.7883545,1,0.8181875068785752,864.1220107551238,707.0138336186361,0.9954387664486962,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,22,4,6250,251.432848,1,0.8503161048141694,831.2044604236346,706.7865390915885,0.9953984015500121,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,21,1,9165,293.5560359,1,0.8581331662061215,822.9401895539489,706.1922704601959,0.995358036651328,1-Highest Review (Top 5%)
Female,A,Medium,Unemployed,1,18,4,8100,297.3851697,1,0.8054886973452005,876.4751481894012,705.9908253705223,0.9953176717526439,1-Highest Review (Top 5%)
Female,C,Small,Unemployed,0,20,3,9860,290.1327193,0,0.840888992479877,838.9434730809553,705.4583318266133,0.9952773068539598,1-Highest Review (Top 5%)
Male,D,Large,Unemployed,0,19,0,12295,222.711392,0,0.8424218696281349,836.5875034341541,704.7596087505339,0.9952369419552757,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,1,18930,167.9366556,1,0.790794417641718,890.7339159970519,704.3874083746156,0.9951965770565916,1-Highest Review (Top 5%)
Male,E,Large,Unemployed,0,20,2,23150,248.5121203,1,0.8796268646392946,800.7178137585613,704.3328999772739,0.9951562121579075,1-Highest Review (Top 5%)
Male,B,Large,Employed,0,18,0,8495,260.3601885,1,0.8216446138442387,856.7276200967165,703.9256345840603,0.9951158472592234,1-Highest Review (Top 5%)
Male,E,Small,Unemployed,0,20,6,19200,293.5560359,1,0.8852905775178076,794.7556688296571,703.5897050437586,0.9950754823605392,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,21,0,14725,201.6569069,1,0.7974396157454708,881.5101064480345,702.9510805616698,0.9950351174618551,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,24,0,16585,284.2162652,1,0.8342233044291623,842.148282860693,702.5397233473922,0.994994752563171,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,23,3,4290,284.9991194,1,0.8031641724785279,874.6699400057387,702.5035585565528,0.994954387664487,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,18,4,8680,133.2886429,1,0.7822113346489649,897.4162424512274,701.9691567434336,0.9949140227658029,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,21,1,23825,260.3601885,1,0.8694629346320537,807.2375477739416,701.863127232714,0.9948736578671188,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,20,5,7545,166.5549379,1,0.7718463596706108,909.0074907453179,701.61412264509,0.9948332929684347,1-Highest Review (Top 5%)
Male,A,Medium,Employed,0,19,2,1840,270.4632326,1,0.7965379869061073,880.210867583023,701.1213925174593,0.9947929280697505,1-Highest Review (Top 5%)
Female,B,Large,Unemployed,0,20,0,7180,270.7883545,1,0.8268314331079146,847.7746983689491,700.9667688050282,0.9947525631710664,1-Highest Review (Top 5%)
Male,E,Medium,Unemployed,0,22,1,2675,270.7883545,1,0.8537298617885398,820.8139884927464,700.7534129500125,0.9947121982723823,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,20,13,18440,290.1327193,0,0.8220689291068769,851.8887917955369,700.3113067895083,0.9946718333736982,1-Highest Review (Top 5%)
Male,B,Medium,Employed,0,19,2,11070,290.1327193,1,0.8184420393071704,855.6147365756548,700.2710698642463,0.9946314684750142,1-Highest Review (Top 5%)
Female,A,Medium,Unemployed,0,20,0,19700,258.9237292,1,0.8213407836896354,852.3443552144951,700.0651806853103,0.9945911035763301,1-Highest Review (Top 5%)
Male,C,Small,Employed,0,18,4,32850,222.6929824,1,0.8368612614404235,836.0404219134458,699.6498420976701,0.9945507386776459,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,21,15,8410,284.1301175,1,0.7983302953283042,875.6507255288841,699.058502315918,0.9945103737789618,1-Highest Review (Top 5%)
Male,C,Small,Employed,0,19,3,23480,260.3601885,1,0.8503251402444727,821.3925520261615,698.4507369974111,0.9944700088802777,1-Highest Review (Top 5%)
Male,D,Medium,Unemployed,0,20,7,5695,258.9237292,1,0.8300712270395793,841.2342642946818,698.2843579908242,0.9944296439815936,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,19,0,10845,145.223003,1,0.7852557905295315,888.8370834020417,697.9644665788334,0.9943892790829095,1-Highest Review (Top 5%)
Male,B,Small,Employed,0,18,1,28005,253.6198858,1,0.8422285519310712,828.6271010098137,697.8934033743368,0.9943489141842254,1-Highest Review (Top 5%)
Male,D,Small,Unemployed,0,18,4,37740,149.997808,1,0.8430352061506435,826.7046843785835,696.9411540208018,0.9943085492855412,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,19,8,8445,232.9029787,1,0.7890039343772692,882.8935048908222,696.6064489949955,0.9942681843868572,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,23,3,9865,276.9950185,1,0.8031450424507417,866.7492341571887,696.1253504613231,0.9942278194881731,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,21,1,18175,205.4307964,1,0.7892516618878103,881.747338358709,695.9205521647644,0.994187454589489,1-Highest Review (Top 5%)
Male,B,Small,Employed,0,20,0,4590,270.4632326,1,0.8205456088915728,848.0312628060036,695.8483288982417,0.9941470896908049,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,21,15,19990,253.6198858,1,0.8055334500433416,863.7022931133797,695.7410879819663,0.9941067247921208,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,21,8,19425,276.9454965,1,0.838366841502569,829.5914590445198,695.5019712566618,0.9940663598934366,1-Highest Review (Top 5%)
Male,A,Medium,Employed,1,18,1,37960,256.6405915,1,0.8212717484443103,846.3030292386076,695.0447685365075,0.9940259949947525,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,13,29020,223.3475567,1,0.7944320774611056,874.1309607942957,694.4376751568846,0.9939856300960684,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,24,0,22720,251.432848,1,0.8292760824492611,835.1690009006894,692.5856772499872,0.9939452651973844,1-Highest Review (Top 5%)
Male,D,Medium,Unemployed,0,20,2,44425,168.6499611,1,0.8337078926085414,830.1849284247173,692.1317271523438,0.9939049002987003,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,22,5,12915,211.8309492,1,0.7684854617302151,900.4367323542824,691.9725380221269,0.9938645354000162,1-Highest Review (Top 5%)
Male,D,Medium,Unemployed,0,19,15,24955,270.7883545,1,0.8519269057099258,811.977086561851,691.7451268619983,0.9938241705013321,1-Highest Review (Top 5%)
Male,A,Large,Unemployed,0,23,6,2670,290.1327193,1,0.8042157730693199,859.453511089954,691.1860698383487,0.9937838056026479,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,0,22,15,26760,275.0923407,1,0.8349201534298003,827.6804888898482,691.0471207747642,0.9937434407039638,1-Highest Review (Top 5%)
Female,C,Medium,Unemployed,0,18,7,27950,275.2822626,1,0.8513188682227958,810.2471256854519,689.7786660193123,0.9937030758052797,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,22,1,8525,222.6929824,1,0.7817438876609628,882.2390786921762,689.6850072232479,0.9936627109065956,1-Highest Review (Top 5%)
Male,A,Small,Employed,0,20,0,6470,276.9454965,1,0.8121388601623345,847.6685507534896,688.4245706043971,0.9936223460079115,1-Highest Review (Top 5%)
Male,E,Medium,Unemployed,0,22,7,38160,285.6217445,1,0.8773892650061299,783.1037031010006,687.0867824873656,0.9935819811092275,1-Highest Review (Top 5%)
Male,A,Small,Employed,0,18,1,14065,272.9669948,1,0.8180960384169943,839.1862490419473,686.5349458352343,0.9935416162105433,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,1,18,10,8200,272.9669948,1,0.804257480575603,853.1614300544795,686.1614622598943,0.9935012513118592,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,22,3,14175,238.240414,0,0.7926704979985033,865.2050692653834,685.8225331254209,0.9934608864131751,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,19,1,22865,160.3435748,1,0.8152248554998777,841.1058833831856,685.6904222411545,0.993420521514491,1-Highest Review (Top 5%)
Female,E,Medium,Unemployed,0,18,0,6695,290.1327193,1,0.8636764723705345,793.2216803353696,685.0869026798797,0.9933801566158069,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,19,12,33835,276.3355652,0,0.8313869221243982,823.9465661865825,685.0183996568296,0.9933397917171228,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,20,2,30850,148.5612071,1,0.7946457806919355,862.0286355918505,685.00741810869,0.9932994268184386,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,19,8,35150,186.6850127,1,0.806099607051917,849.2089455569164,684.5469973184031,0.9932590619197545,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,1,22,6,20250,270.874006,1,0.8215549137450089,832.8641835919572,684.2436625121976,0.9932186970210705,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,21,0,33620,149.997808,1,0.8197487466379887,834.6504661872518,684.2036735378126,0.9931783321223864,1-Highest Review (Top 5%)
Female,A,Small,Unemployed,0,19,0,11720,237.675525,1,0.8018279055420383,853.2414129579599,684.1527750738104,0.9931379672237023,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,25,0,10160,282.3344767,1,0.802169962429297,852.3800271883333,683.7536543851485,0.9930976023250182,1-Highest Review (Top 5%)
Male,A,Medium,Employed,0,19,1,14305,275.2822626,1,0.8087229207635263,845.3167453282346,683.6270272521677,0.993057237426334,1-Highest Review (Top 5%)
Female,A,Medium,Unemployed,0,18,0,17515,223.3475567,1,0.7962447558324299,858.5137837548543,683.5870981246595,0.9930168725276499,1-Highest Review (Top 5%)
